ID	Title	Inputs	Expected result	Status	Actual Result	Bug Report's ID
C-1	Registration with the valid data in all fields	"Name: Julia Surname: Gushchina Email: julia@gmail.com Password:Qwerty123"	Successful registration	Pass		
C-2	Registration with the valid data in obligatory fields	"Name: Julia Surname: (empty) Email: julia@gmail.com Password:Qwerty123"	Successful registration	Fail	The registration isn't complete. The customer recieves a massage "Error. All fields are required"	B-1
C-3	Registration with the invalid data in all fields	"Name: ##*** Surname: ##*** Email: juliagmailcom Password: (8 spaces)"	The registration isn't complete.	Fail	Successful registration	
Name. Preconditions: The fields "Surname", "Email", "Password" are filled in with the valid data						
C-4	The valid ordinary name (Latin alphabet, 1-64 symbols, both cases)	Julia	Successful registration	Pass		
C-5	The valid ordinary name (upper case)	JULIA	Successful registration	Pass		
C-6	The valid ordinary name (lower case)	julia	Successful registration	Pass		
C-7	The double name (space)	Frans Ferdinand	Successful registration	Pass		
C-8	The double name (hyphen)	Anna-Mariya	Successful registration	Pass		
C-9	The double name (apostrophe)	D'Saad	Successful registration	Pass		
C-10	The name with numbers	Julia 21	Successful registration	Pass		
C-11	The name consisting of 1 symbol	A	Successful registration	Fail	The registration isn't complete.	B-2
C-12	The name consisting of 2 symbols	Ho	Successful registration	Fail	The registration isn't complete.	B-2
C-13	The name consisting of 64 symbols	qwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqw	Successful registration	Fail	The registration isn't complete.	B-6
C-14	The name consisting of 63 symbols	qwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwe	Successful registration	Fail	The registration isn't complete.	B-6
C-15	The name consisting of 65 symbols	qwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwertyqwer	The registration isn't complete.	Pass		B-7
C-16	Left the field empty		The registration isn't complete.  The customer recieves a massage "Error. All fields are required"	Pass		
C-17	Only the spaces in the field 		The registration isn't complete.	Fail	Successful registration	
C-18	The special symbols	&*Julia+	The registration isn't complete.	Fail	Successful registration	B-5
C-19	Spaces before the name	   Julia	The registration isn't complete.	Fail	Successful registration	
C-20	Spaces after name	Julia   	The registration isn't complete.	Fail	Successful registration	
